                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9091,                 4.9394,                 1.9794,                0.00367,                0.82253,                0.15408,                0.07465,                 1.2042,                 4.3936,                 1.2376,              0.0002375,              0.0002375,              0.0002375
                      2,                 1.4623,                 3.3501,                 1.4405,                0.00447,                0.86395,                0.37411,                0.18653,                 1.2024,                 4.0573,                 1.1791,             0.00043924,             0.00043924,             0.00043924
                      3,                 1.4094,                 2.7657,                 1.3217,                 0.9717,                0.39771,                0.62872,                0.28833,                 1.5092,                 3.8361,                 1.4199,             0.00059148,             0.00059148,             0.00059148
                      4,                 1.4082,                 2.4483,                 1.3332,                0.76222,                0.52275,                 0.8279,                0.44994,                 1.3385,                 3.0911,                 1.2241,             0.00069421,             0.00069421,             0.00069421
                      5,                  1.339,                 2.1855,                 1.2611,                0.77656,                0.75994,                0.82733,                0.49911,                 1.2679,                 2.3625,                 1.2223,             0.00074745,             0.00074745,             0.00074745
                      6,                 1.3117,                 1.9833,                  1.273,                0.70734,                0.88688,                0.80659,                0.47047,                 1.2096,                 2.3956,                 1.2304,             0.00063125,             0.00063125,             0.00063125
                      7,                 1.2991,                 1.8717,                 1.2383,                0.77199,                0.89728,                0.86199,                0.55733,                 1.0871,                 2.0839,                 1.0965,             0.00063125,             0.00063125,             0.00063125
                      8,                 1.2572,                 1.7564,                 1.2118,                0.85359,                 0.9343,                0.90705,                0.56472,                 1.0719,                 1.7051,                 1.1078,              0.0005075,              0.0005075,              0.0005075
                      9,                 1.2023,                  1.677,                  1.163,                0.87556,                0.87822,                0.87937,                0.53503,                 1.1584,                 1.6435,                 1.1283,             0.00038375,             0.00038375,             0.00038375
                     10,                  1.236,                 1.6149,                 1.1763,                0.85117,                0.96429,                0.90419,                0.59683,                 1.0068,                 1.4685,                 1.0886,                0.00026,                0.00026,                0.00026
